dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-13132,Integer Overflow,mint,False,N/A,N/A
CVE-2018-13128,Integer Overflow,mint,True,1,N/A
CVE-2018-12062,Integer Overflow,sell,True,5,N/A
CVE-2018-12083,Token Devalue,mintToken,True,6,N/A
CVE-2018-13208,Integer Overflow,sell,False,N/A,N/A
CVE-2018-13325,Integer Overflow,_sell,False,N/A,N/A
CVE-2018-12702,Access Control,approveAndCallcode,False,N/A,N/A
CVE-2018-12230,Wrong Logic,transferFrom,False,N/A,N/A
CVE-2018-12703,Access Control,approveAndCallcode,False,N/A,N/A
CVE-2018-18425,Token Devalue,doAirdrop,False,N/A,N/A
CVE-2018-17050,Integer Overflow,mintToken,True,1,N/A
CVE-2018-14006,Integer Overflow,multipleTransfer,False,N/A,N/A
CVE-2018-13075,Integer Overflow,mintToken,True,1,N/A
CVE-2018-10666,Access Control,setOwner,False,N/A,N/A
CVE-2018-13076,Integer Overflow,mintToken,True,1,N/A
CVE-2018-17877,Bad Randomness,extcodesize,False,N/A,N/A
CVE-2018-13071,Integer Overflow,mintToken,True,1,N/A
CVE-2018-13088,Integer Overflow,mintToken,True,1,N/A
CVE-2018-13533,Integer Overflow,mintToken,True,1,N/A
CVE-2021-34273,Access Control,owned,False,N/A,N/A
CVE-2018-13670,Integer Overflow,mintToken,True,1,N/A
CVE-2018-10376,Integer Overflow,transferProxy,False,N/A,N/A
CVE-2018-11429,Integer Overflow,mint,True,1,N/A
CVE-2018-13070,Integer Overflow,mintToken,True,1,N/A
CVE-2018-13073,Integer Overflow,mintToken,True,1,N/A
CVE-2018-14715,Bad Randomness,endCoinFlip,False,N/A,N/A
CVE-2021-3006,Access Control,breed,False,N/A,N/A
CVE-2018-19833,Access Control,owned,False,N/A,N/A
CVE-2018-14089,Wrong Logic,transferFrom,False,N/A,N/A
CVE-2019-15078,Typo Constructor,Not Provided,False,N/A,N/A
CVE-2018-14063,Integer Overflow,increaseApproval,False,N/A,N/A
CVE-2018-13087,Integer Overflow,mintToken,True,1,N/A
CVE-2018-10706,Integer Overflow,transferMulti,False,N/A,N/A
CVE-2019-15079,Typo Constructor,Not Provided,False,N/A,N/A
CVE-2018-14087,Integer Overflow,setPrices,True,3,N/A
CVE-2018-12067,Integer Overflow,sell,True,3,N/A
CVE-2021-34272,Access Control,owned,False,N/A,N/A
CVE-2018-13703,Integer Overflow,mintToken,True,1,N/A
CVE-2018-13069,Integer Overflow,mintToken,True,1,N/A
CVE-2021-3004,Wrong Logic,_deposit,False,N/A,N/A
CVE-2020-35962,Access Control,sellTokenForLRC,False,N/A,N/A
CVE-2018-13127,Integer Overflow,mint,True,1,N/A
CVE-2018-12068,Integer Overflow,sell,True,3,N/A
CVE-2018-14084,Integer Overflow,setPrices,False,N/A,N/A
CVE-2018-13327,Integer Overflow,Multiple Functions,True,1,N/A
CVE-2018-11411,Wrong Logic,transferFrom,False,N/A,N/A
CVE-2018-17987,Bad Randomness,determineWinner,False,N/A,N/A
CVE-2018-12511,Integer Overflow,mintToken,True,1,N/A
CVE-2018-13089,Integer Overflow,mintToken,True,1,N/A
CVE-2018-13086,Integer Overflow,mintToken,True,1,N/A
CVE-2018-13228,Integer Overflow,sell,False,N/A,N/A
CVE-2018-12080,Token Devalue,mintToken,False,N/A,N/A
CVE-2018-13126,Integer Overflow,mint,True,1,N/A
CVE-2018-13074,Integer Overflow,mintToken,True,1,N/A
CVE-2020-17752,Integer Overflow,Not Provided,False,N/A,N/A
CVE-2018-13778,Integer Overflow,mintToken,True,1,N/A
CVE-2018-12025,Wrong Logic,transferFrom,False,N/A,N/A
CVE-2018-12081,Token Devalue,mintToken,True,10,N/A
CVE-2018-11239,Integer Overflow,_transfer,False,N/A,N/A
CVE-2018-13202,Integer Overflow,sell,False,N/A,N/A
CVE-2021-34270,Integer Overflow,mintToken,True,1,N/A
CVE-2018-12959,Access Control,approveAndCall,False,N/A,N/A
CVE-2018-13493,Integer Overflow,mintToken,True,1,N/A
CVE-2018-13083,Integer Overflow,mintToken,True,1,N/A
CVE-2018-12063,Integer Overflow,sell,False,N/A,N/A
CVE-2018-13230,Integer Overflow,sell,True,3,N/A
CVE-2018-13092,Integer Overflow,mintToken,True,1,N/A
CVE-2018-13189,Integer Overflow,mint,True,1,N/A
CVE-2018-12079,Token Devalue,mintToken,False,N/A,N/A
CVE-2018-19834,Access Control,quaker,False,N/A,N/A
CVE-2018-13783,Integer Overflow,mintToken,True,1,N/A
CVE-2018-13221,Integer Overflow,sell,False,N/A,N/A
CVE-2018-12454,Bad Randomness,_addguess,False,N/A,N/A
CVE-2018-13782,Integer Overflow,mintToken,True,1,N/A
CVE-2018-13836,Integer Overflow,multiTransfer,True,2,N/A
CVE-2018-14576,Integer Overflow,mintTokens,True,3,N/A
CVE-2018-13625,Integer Overflow,mintlvlToken,True,5,N/A
CVE-2018-19830,Access Control,UBSexToken,False,N/A,N/A
CVE-2018-13113,Integer Overflow,Multiple Functions,True,1,N/A
CVE-2018-14004,Integer Overflow,transfer_tokens_after_ICO,False,N/A,N/A
CVE-2018-12078,Token Devalue,mintToken,False,N/A,N/A
CVE-2018-13227,Integer Overflow,sell,True,3,N/A

Top k hit rate:,0.50,(41/82)
Top 1 hit rate:,0.50,0.47560975609756095,(39/82)
